workerID,datetime,location,operationlog,isFull
104,2019/03/18 14:35:46,2A-3N-13,87388897,FALSE
95032,2019/03/18 14:35:47,2B-3F-13,87389207,FALSE
95032,2019/03/18 14:35:47,2B-3F-13,87389207,FALSE
95032,2019/03/18 14:35:47,2B-3F-13,87389207,FALSE
95078,2019/03/18 14:36:14,2C-1B-12,87386810,FALSE
73250,2019/03/18 14:36:21,2A-2A-14,87381817,FALSE
79841,2019/03/18 14:36:21,2B-2K-02,87388355,FALSE
95078,2019/03/18 14:36:37,2C-1B-13,87386810,FALSE
73250,2019/03/18 14:36:38,2A-2B-13,87381817,FALSE
79841,2019/03/18 14:36:52,2B-2L-03,87388355,FALSE
73250,2019/03/18 14:37:15,2A-2C-11,87381817,FALSE
95032,2019/03/18 14:37:19,2B-3K-07,87389207,FALSE
68309,2019/03/18 14:37:21,2C-2K-09,87386538,FALSE
104,2019/03/18 14:37:34,2A-1C-11,87388897,FALSE
73250,2019/03/18 14:37:54,2A-2H-12,87381817,FALSE
95078,2019/03/18 14:38:13,2C-1C-09,87386810,FALSE
79841,2019/03/18 14:38:36,2B-3A-04,87388355,FALSE
73250,2019/03/18 14:38:37,2A-3D-16,87381817,FALSE
95032,2019/03/18 14:38:42,2B-2F-06,87389207,FALSE
68309,2019/03/18 14:38:43,2C-2B-02,87386538,FALSE
68309,2019/03/18 14:38:43,2C-2B-02,87386538,FALSE
104,2019/03/18 14:38:44,2A-2A-15,87388897,FALSE
79841,2019/03/18 14:38:56,2B-3B-09,87388355,FALSE
73250,2019/03/18 14:39:08,2A-3L-01,87381817,FALSE
104,2019/03/18 14:39:20,2A-2C-06,87388897,FALSE
95032,2019/03/18 14:39:27,2B-2C-12,87389207,FALSE
68309,2019/03/18 14:39:40,2C-2B-17,87386538,FALSE
104,2019/03/18 14:39:44,2A-2D-01,87388897,FALSE
95078,2019/03/18 14:40:02,2C-1D-04,87386810,FALSE
79841,2019/03/18 14:40:04,2B-3F-04,87388355,FALSE
95032,2019/03/18 14:40:05,2B-2A-01,87389207,FALSE
104,2019/03/18 14:40:20,2A-2D-09,87388897,FALSE
95078,2019/03/18 14:40:22,2C-1E-04,87386810,FALSE
104,2019/03/18 14:40:34,2A-2D-15,87388897,FALSE
79841,2019/03/18 14:40:37,2B-3F-05,87388355,FALSE
68309,2019/03/18 14:40:42,2C-2J-15,87386538,FALSE
68309,2019/03/18 14:40:42,2C-2J-15,87386538,FALSE
68309,2019/03/18 14:40:42,2C-2J-15,87386538,FALSE
73250,2019/03/18 14:40:57,2A-1I-08,87381817,FALSE
79841,2019/03/18 14:41:19,2B-3G-09,87388355,FALSE
68309,2019/03/18 14:41:27,2C-2B-02,87386538,FALSE
104,2019/03/18 14:41:29,2A-2G-01,87388897,FALSE
73250,2019/03/18 14:41:41,2A-3G-06,87381817,FALSE
79841,2019/03/18 14:42:02,2B-3L-13,87388355,FALSE
104,2019/03/18 14:42:03,2A-2J-01,87388897,FALSE
68309,2019/03/18 14:42:27,2C-2B-15,87386538,FALSE
95032,2019/03/18 14:42:32,2B-1H-11,87389207,TRUE
104,2019/03/18 14:42:35,2A-2J-08,87388897,FALSE
73250,2019/03/18 14:43:03,2A-1E-13,87381817,FALSE
79841,2019/03/18 14:43:18,2B-3M-15,87388355,FALSE
73250,2019/03/18 14:43:19,2A-1F-03,87381817,FALSE
104,2019/03/18 14:43:34,2A-3B-06,87386810,FALSE
95078,2019/03/18 14:43:34,2C-1F-07,87388897,FALSE
104,2019/03/18 14:43:55,2A-3D-05,87388897,FALSE
79841,2019/03/18 14:44:11,2B-3N-11,87388355,FALSE
104,2019/03/18 14:44:41,2A-3D-16,87388897,FALSE
95078,2019/03/18 14:44:42,2C-1F-11,87386810,FALSE
73250,2019/03/18 14:44:54,2A-3N-04,87381817,FALSE
104,2019/03/18 14:45:34,2A-3H-01,87388897,FALSE
95032,2019/03/18 14:45:49,2B-1E-09,87392216,FALSE
95078,2019/03/18 14:45:50,2C-1H-09,87386810,FALSE
79841,2019/03/18 14:45:54,2B-1C-12,87388355,FALSE
104,2019/03/18 14:46:07,2A-3K-09,87388897,FALSE
104,2019/03/18 14:46:26,2A-3K-13,87388897,FALSE
73250,2019/03/18 14:47:06,2A-2L-09,87381817,FALSE
95032,2019/03/18 14:47:06,2B-2A-06,87392216,FALSE
104,2019/03/18 14:47:25,2A-3K-14,87388897,FALSE
104,2019/03/18 14:48:05,2A-3L-08,87388897,TRUE
95032,2019/03/18 14:48:35,2B-2C-15,87392216,FALSE
95032,2019/03/18 14:49:09,2B-2H-03,87392216,FALSE
73250,2019/03/18 14:49:13,2A-3A-05,87381817,FALSE
95032,2019/03/18 14:49:33,2B-2I-13,87392216,FALSE
79841,2019/03/18 14:49:37,2B-2B-16,87388355,FALSE
104,2019/03/18 14:49:53,2A-3L-11,87392914,FALSE
95078,2019/03/18 14:50:04,2C-1H-10,87386810,FALSE
79841,2019/03/18 14:50:17,2B-2H-16,87388355,FALSE
68309,2019/03/18 14:50:21,2C-2B-17,87386538,FALSE
68309,2019/03/18 14:50:21,2C-2B-17,87386538,FALSE
95078,2019/03/18 14:50:34,2C-1H-13,87386810,TRUE
95032,2019/03/18 14:50:39,2B-3N-12,87392216,FALSE
104,2019/03/18 14:50:49,2A-3N-02,87392914,TRUE
68309,2019/03/18 14:50:53,2C-2J-15,87386538,FALSE
68309,2019/03/18 14:51:15,2C-2L-06,87386538,FALSE
79841,2019/03/18 14:51:19,2B-3J-03,87388355,FALSE
95032,2019/03/18 14:51:23,2B-3C-01,87392216,FALSE
73250,2019/03/18 14:52:01,2A-3F-13,87381817,FALSE
68309,2019/03/18 14:52:23,2C-3I-12,87386538,FALSE
95032,2019/03/18 14:52:27,2B-3D-16,87392216,TRUE
104,2019/03/18 14:52:32,2A-2A-13,87393313,FALSE
95078,2019/03/18 14:52:50,2C-1I-08,87393479,FALSE
79841,2019/03/18 14:52:51,2B-2F-01,87388355,FALSE
68309,2019/03/18 14:52:55,2C-3H-14,87386538,FALSE
104,2019/03/18 14:53:06,2A-2B-05,87393313,FALSE
73250,2019/03/18 14:53:10,2A-3L-01,87381817,FALSE
95078,2019/03/18 14:53:13,2C-1J-03,87393479,FALSE
104,2019/03/18 14:53:47,2A-2B-09,87393313,FALSE
79841,2019/03/18 14:54:22,2B-3K-07,87388355,FALSE
104,2019/03/18 14:54:41,2A-2E-08,87393313,FALSE
95078,2019/03/18 14:54:46,2C-1J-06,87393479,FALSE
73250,2019/03/18 14:55:03,2A-1B-01,87381817,FALSE
104,2019/03/18 14:55:24,2A-2L-07,87393313,FALSE
73250,2019/03/18 14:55:45,2A-1E-02,87381817,FALSE
79841,2019/03/18 14:56:03,2B-3K-10,87388355,FALSE
104,2019/03/18 14:56:20,2A-3H-11,87393313,FALSE
73250,2019/03/18 14:56:26,2A-3F-12,87381817,FALSE
104,2019/03/18 14:56:51,2A-3I-03,87393313,FALSE
79841,2019/03/18 14:57:22,2B-1A-01,87388355,FALSE
95078,2019/03/18 14:57:23,2C-1K-03,87393479,FALSE
95078,2019/03/18 14:57:23,2C-1K-03,87393479,TRUE
104,2019/03/18 14:57:24,2A-3I-09,87393313,FALSE
